Store No,Store Name,Address,Postcode,Latitude,Longitude
386,Darwen,"17 Market Street, Darwen",BB3 1AZ,53.696195,-2.468037
388,Taunton,"7 Orchard, Taunton",TA1 3TP,51.013794,-3.102354
389,Maesteg,"2/2A Talbot Street, Maesteg",CF34 9BT,51.608913,-3.659838
390,Burgess Hill,"10 Market Place, The Martlets, Burgess",RH15 9NP,50.955078,-0.131244
391,Ilford,"112 High Road, Ilford",IG1 1DS,51.558641,0.072224
393,Enfield,"Unit 4, Palace Gardens Shopping Centre, Enfield",EN2 6SN,51.651258,-0.083468
394,Portsmouth Commercial Road,"228 Commercial Road, Portsmouth",PO1 1HG,50.801628,-1.088367
396,Rugeley,"3/5 Lower Brook Street, Rugeley",WS15 2BD,52.75708,-1.936727
397,Farnborough,"Unit 66, Queensmead, Farnborough",GU14 7SD,51.291037,-0.755729
398,Glasgow Forge,"Unit 3 The Forge Shopping Centre, Glasgow",G31 4EB,55.853889,-4.199642
401,Truro,"5/6 St Nicholas Street, Truro",TR1 2RL,50.263035,-5.052627
403,Borehamwood,"117 Shenley Road, Borehamwood",WD6 1AG,51.656111,-0.275779
404,Worcester,"41 The Shambles, Worcester",WR1 3RE,52.1919884,-2.2193258
405,Stroud,"Unit 1, 66/67 High Street, Stroud",GL5 1AS,51.745548,-2.216327
407,Bournemouth Old Christchurch Road,"76 Old Christchurch Road, Bournemouth",BH1 1LR,50.721625,-1.875518
408,Winchester,"146 High Street, Winchester",SO23 9AY,51.062012,-1.311587
413,Sittingbourne,"80 High Street, Sittingbourne",ME10 4PB,51.340207,0.735773
414,Plympton,"1 St Stephens Place Shopping Centre, Plympton",PL7 2ZN,50.387493,-4.051905
415,Pontypool,"17 George Street, Pontypool",NP4 6LR,51.703306,-3.041944
416,Penzance,"Unit 9, Wharfside Shopping Centre, Penzance",TR18 2GB,50.120275,-5.533581
417,Teignmouth,"Unit 2, 11 & 11A Bank Street, Teignmouth",TQ14 8AL,50.546151,-3.49672
418,Thornaby,"10 Vale House, Pavillion Shopping Centre, Thornaby",TS17 9FD,54.538889,-1.290491
419,Arbroath,"Unit 4, 212 High Street, Arbroath",DD11 1HY,56.560748,-2.583179
420,Deal,"42 High Street, Deal",CT14 6HE,51.223831,1.402987
421,Canterbury,"34a High Street, Canterbury",CT1 2RY,51.279209,1.079412
422,Norris Green,"47 Broadway Liverpool, Norris",L11 1BY,53.441202,-2.929304
423,Havant,"SU13 (No 12), The Meridian Centre, Havant",PO9 1UW,50.852129,-0.982384
424,Leigh,"Unit 20,  Spinning Gate Shopping Centre, Leigh",WN7 4PG,53.495528,-2.516608
426,Bradley Stoke Tesco,"Unit MU6B, The Willow Brook Shopping Centre, Bradley",BS32 8EF,51.535424,-2.547886
427,Tunbridge Wells,"58 Calverley Road, Tunbridge",TN1 2TD,51.133941,0.265806
428,Dorchester,"Unit 2, 45/46 South Street, Dorchester",DT1 1DQ,50.713948,-2.437383
429,Liverpool St Johns,"50/51 Houghton Way  St Johns Shopping Centre, Liverpool",L1 1LN,53.406512,-2.981363
430,Chippenham,"Unit 10, Emery Gate Shopping Centre, Chippenham",SN15 3JP,51.459339,-2.115021
431,Fleet,"Unit 8, The Hart Shopping Centre, Fleet",GU51 3LA,51.280883,-0.841504
432,Feltham,"Unit 12, (No 44) The Centre, Feltham",TW13 4AU,51.446535,-0.410857
433,New Malden,"99 High Street, New",KT3 4BP,51.400567,-0.256035
436,Portchester,"3 West Street, Portchester",PO16 9XB,50.846539,-1.124793
437,Bromsgrove,"77/79 High Street, Bromsgrove",B61 8AQ,52.335552,-2.060341
439,Glossop,"15 High Street West, Glossop",SK13 8AL,53.443136,-1.94954
441,Selby,"16 Gowthorpe, Selby",YO8 4ET,53.783916,-1.071765
443,Bolton,"2-10 Market Street, Bolton",BL1 1BU,53.579097,-2.429618
444,Dalston,"Unit 14, Kingsland Shopping Centre, Kingsland High Street",E8 2LX,51.547711,-0.074265
446,Brentwood,"4 Baytree Centre, Brentwood",CM14 4BX,51.619553,0.30224
447,Christchurch,"52 High Street, Christchurch",BH23 1BN,50.734185,-1.776481
448,Surrey Quays,"22 Surrey Quays Shopping Centre, Redriff Road",SE16 7LL,51.495399,-0.046937
449,Bedminster,"89 East Street, Bedminster",BS3 4EX,51.441504,-2.597925
450,Doncaster,"Unit 130, Frenchgate Exchange (No 12 St Sepulchre Gate), Doncaster",DN1 1TA,53.523615,-1.136062
453,Yate,"Unit 3, West Walk, Yate Shopping Centre",BS37 4AX,51.540459,-2.414235
454,Acocks Green,"1074 Warwick Road, Acocks Green",B27 6BH,52.446608,-1.822409
455,Wellington (Shrops),"25 New Street, Wellington",TF1 1LU,52.700628,-2.516814
456,Old Swan,"547 Prescot Road, Old Swan",L13 5UX,53.413935,-2.911182
457,Warrington Golden Square,"Unit 84 (22), The Mall, Golden Square Shopping Centre, Warrington",WA1 1QP,53.39042,-2.596607
458,Catterick Garrison Tesco,"Unit H, Richmondshire Walk, Catterick",DL9 3EN,54.374777,-1.723238
461,Ealing,"Unit 7, 53 Broadway, Ealing",W5 5JY,51.512523,-0.303141
464,Sheerness,"88 High Street, Sheerness",ME12 1UB,51.438984,0.763172
465,Redcar,"24 Regents Walk, Redcar",TS10 3FB,54.617947,-1.066492
466,Salford,"30 Briar Hill Way, Salford Shopping Centre, Salford",M6 5FD,53.488805,-2.287126
467,Whitby,"55 Baxtergate, Whitby",YO21 1BL,54.485995,-0.615173
469,Harborne,"81 High Street, Harborne",B17 9NR,52.459819,-1.946806
